#  Florida 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,82.8
202402,82.8
202403,82.8
202404,82.8
202405,82.9
202406,83
202407,83.1
202408,83.1
202409,83.1
202410,83.1
202411,83.3
202412,83.1
202501,83
202502,83.1
202503,83
202504,83.1
202505,83.1
202506,83.1
202507,83.1
202508,83.1
202509,83.1
202510,83.1
202511,83.1
202512,83.2
202601,83.1
202602,82.9
202603,82.9
