#  Ohio 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,62.9
202402,63.4
202403,63.3
202404,63.4
202405,63.6
202406,63.6
202407,63.7
202408,63.7
202409,63.7
202410,63.7
202411,63.9
202412,63.7
202501,63.6
202502,63.6
202503,63.6
202504,63.8
202505,63.6
202506,63.6
202507,63.7
202508,63.7
202509,63.8
202510,63.9
202511,63.8
202512,63.8
202601,63.5
202602,63.2
202603,63.4
