Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
California Offenses,1785,1981,2464,2264,2527,2359,2378,2687,2521,2525,9817,9415,10905,10855,11205,11106,11665,11676,11534,11335,9387,9789,12608,9049,10153,10826,11368,10911,11993,11874,11502,14315,10104,10490,10006,9460,10472,10373,10985,11360,11509,11294,11197,10728,9363,9532,6878,6187,7264,7372,8045,7791,8316,8335,7660,8043,7366,7051,6523,4924,1045
California Clearances,584,621,786,740,874,809,947,930,900,976,4447,4365,5071,4669,5224,5262,5459,5841,5535,5157,4660,4669,4884,4329,4816,4849,5128,5043,5623,5640,5327,5423,4908,4947,5178,4996,5175,5305,5189,5273,5597,5308,5459,5273,4755,4712,3453,3011,3660,3708,4011,3765,4333,4163,3976,4171,3832,3729,3385,2751,539
