#  California 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,72.1
202402,72
202403,72
202404,71.9
202405,71.8
202406,71.8
202407,71.9
202408,71.8
202409,71.9
202410,72.1
202411,71.9
202412,72.1
202501,72.1
202502,72
202503,71.9
202504,71.8
202505,71.9
202506,71.9
202507,71.9
202508,71.8
202509,71.7
202510,71.6
202511,71.7
202512,71.9
202601,72.1
202602,72.3
202603,72.9
