Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Georgia Offenses,2141,2237,2530,2304,2426,2396,2348,2260,2025,2211,2184,2184,2515,2712,3035,2698,2816,2428,2534,2489,2275,2186,2426,2238,2452,2502,2724,2542,2600,2331,2144,2398,1997,2041,2093,2022,2115,2352,2436,2210,2160,2225,2099,1902,1788,1675,1830,1577,1973,1986,2027,1954,1987,1672,1811,1766,1649,1641,1070,22,
Georgia Clearances,789,807,844,847,847,863,781,737,642,662,713,763,915,867,997,1002,920,929,886,842,709,710,837,760,838,761,818,769,874,774,747,811,604,698,717,699,833,772,910,768,739,798,746,704,621,622,597,629,671,764,780,683,709,700,699,714,623,638,409,19,
