#  Pennsylvania 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,61.1
202402,61.4
202403,61.4
202404,61.4
202405,61.5
202406,61.6
202407,61.7
202408,61.6
202409,61.6
202410,61.6
202411,61.7
202412,61.5
202501,61.5
202502,61.4
202503,61.5
202504,61.6
202505,61.5
202506,61.5
202507,61.5
202508,61.4
202509,61.5
202510,61.6
202511,61.5
202512,61.4
202601,61.1
202602,60.8
202603,60.9
