Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
New York Offenses,500,588,695,717,719,656,642,626,539,495,3840,3823,4463,4539,5186,5371,5536,5189,4691,4702,4316,4155,3975,3581,3826,4148,4552,4766,4940,4418,4272,4450,3809,3857,3651,3701,4051,4091,4679,4915,4890,4491,4501,4289,3908,3667,3218,2958,3719,3875,4098,4293,4354,4047,3906,3620,3654,2848,0,0,
New York Clearances,244,278,288,334,294,292,299,277,271,225,522,546,652,602,637,677,794,762,657,626,551,548,2339,2252,2469,2607,2834,2899,3016,2921,2693,2802,2600,2480,2669,2636,2883,2837,3102,2872,3357,2876,2462,2750,2570,2276,2507,2257,2668,2805,2925,2919,3005,2783,2816,2704,2686,2233,0,0,
