#  North Carolina 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,71.4
202402,71.6
202403,71.6
202404,71.7
202405,71.7
202406,71.8
202407,71.8
202408,71.8
202409,71.8
202410,71.7
202411,71.9
202412,71.6
202501,71.5
202502,71.5
202503,71.5
202504,71.6
202505,71.5
202506,71.5
202507,71.6
202508,71.5
202509,71.4
202510,71.5
202511,71.5
202512,71.5
202601,71.3
202602,71
202603,71.2
