Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Pennsylvania Offenses,1032,1034,1138,1180,1251,1218,1236,1123,981,1060,1080,1180,1752,1934,2003,1963,1898,1763,1569,1539,1452,1327,1482,1437,1743,1895,2063,1924,2069,1934,1949,1952,1705,1593,1623,1588,1724,1817,2044,1885,1871,1886,1821,1760,1754,1506,1484,1340,1575,1731,1752,1775,1838,1671,1731,1657,1523,1372,1264,852,1
Pennsylvania Clearances,471,434,544,523,547,545,566,529,426,479,555,630,973,1001,1011,1055,1033,951,782,873,792,748,894,769,1080,1081,1111,1070,1192,1141,1189,1178,1033,946,1071,1006,1116,1106,1253,1116,1133,1048,1066,1056,1060,967,968,918,1000,1092,1112,1054,1216,1083,1120,1096,943,962,874,652,6
