Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Texas Offenses,7125,7708,8385,8272,8477,8192,7490,7926,7106,7569,7293,6617,7803,8168,8843,7858,8284,7781,7549,7587,6759,7113,7309,6401,7545,7539,7649,7419,7684,7338,7162,7061,6455,6996,6183,6148,7243,7473,8116,7922,7521,7384,6971,7383,6388,6571,5931,5465,6561,6707,7023,6521,6697,6799,6285,6184,5781,5772,5357,4260,11
Texas Clearances,2661,2779,2929,2960,3012,3051,2723,2789,2516,2588,2554,2418,2839,2922,3092,2898,3047,2964,2851,2845,2473,2563,2774,2468,2913,2873,2829,2899,2916,2836,2794,2699,2422,2615,2526,2662,3410,3234,3353,3152,3156,3184,3061,3028,2706,2577,2541,2453,2868,2938,3049,2827,3110,2981,2700,2661,2467,2519,2369,1900,8
