Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Illinois Offenses,611,767,855,841,1385,1256,1268,1203,1020,1037,1147,995,1222,1258,1538,1402,1592,1544,1447,1331,1167,1218,1354,1074,1167,1488,1670,1591,1674,1559,1474,1485,1299,1290,1102,1232,1384,1447,1763,1700,1719,1611,1507,1432,1334,1246,1203,994,1285,1321,1432,1465,1469,1493,1431,1168,1157,965,936,529,57
Illinois Clearances,231,267,270,317,338,382,330,357,333,315,388,381,465,404,521,491,504,540,503,448,378,450,470,427,460,563,640,554,583,564,485,564,520,452,456,527,566,557,665,668,660,600,568,600,516,542,571,464,514,552,618,584,567,628,606,500,500,470,375,299,34
