#  Michigan 36-Month Period Maximum Temperature
# Units: Degrees Fahrenheit
Date,Value
202401,56.3
202402,56.7
202403,56.6
202404,56.7
202405,56.8
202406,56.7
202407,56.7
202408,56.6
202409,56.7
202410,56.8
202411,56.9
202412,56.8
202501,56.8
202502,56.8
202503,57
202504,57.1
202505,57
202506,57
202507,57.1
202508,57
202509,57.1
202510,57.2
202511,57.1
202512,57
202601,56.8
202602,56.7
202603,56.8
