Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Florida Offenses,1047,1224,1461,1352,1396,1471,1310,1421,1178,1518,1834,1774,2126,2000,2177,2017,2202,2214,2364,2403,2122,22196,2252,2026,2428,2494,2517,2424,2486,2397,2455,2527,2280,12183,2375,2193,2553,2427,2769,2361,2456,2403,2392,2376,2072,10077,2161,2189,2586,2598,2639,2572,2638,2443,2435,2430,2343,2251,1786,930,117
Florida Clearances,574,619,765,650,577,688,607,653,547,660,815,860,1028,1019,1075,1018,1018,1110,1106,1131,969,1092,1151,1032,1263,1223,1309,1178,1252,1272,1242,1310,1106,1301,1284,1185,1255,1361,1484,1207,1247,1283,1166,1245,1061,1057,1145,1029,1329,1386,1389,1342,1592,1559,1350,1368,1209,1230,1062,515,93
