Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
Ohio Offenses,1708,1835,2281,2225,2438,2182,1996,1989,1602,1571,1601,1340,1857,1776,2115,2044,2215,1921,1869,1846,1619,1553,1627,1548,1650,1977,2265,2122,2083,2051,1925,1853,1565,1779,1455,1571,1740,2054,2315,2094,2119,2100,2052,1947,1691,1639,1448,1324,1777,1902,2040,2067,1990,1923,1790,1783,1414,1273,1161,756,94
Ohio Clearances,534,587,691,640,792,699,637,657,535,515,545,515,671,693,743,744,705,724,603,610,610,570,565,578,623,684,800,793,723,782,809,658,652,683,647,679,683,868,903,773,822,895,842,793,736,700,688,570,765,753,864,851,922,865,752,740,647,575,520,342,37
