Series,"03-2021","04-2021","05-2021","06-2021","07-2021","08-2021","09-2021","10-2021","11-2021","12-2021","01-2022","02-2022","03-2022","04-2022","05-2022","06-2022","07-2022","08-2022","09-2022","10-2022","11-2022","12-2022","01-2023","02-2023","03-2023","04-2023","05-2023","06-2023","07-2023","08-2023","09-2023","10-2023","11-2023","12-2023","01-2024","02-2024","03-2024","04-2024","05-2024","06-2024","07-2024","08-2024","09-2024","10-2024","11-2024","12-2024","01-2025","02-2025","03-2025","04-2025","05-2025","06-2025","07-2025","08-2025","09-2025","10-2025","11-2025","12-2025","01-2026","02-2026","03-2026"
North Carolina Offenses,2402,2968,3130,3190,3296,2761,2743,2952,2600,2642,2385,2497,2794,2967,2962,2846,3080,2786,2572,2837,2450,2397,2585,2196,2631,2845,2975,2874,3157,2828,2567,2648,2458,2618,2298,2131,2400,2690,2926,2859,2864,2515,2689,2720,2337,2575,2121,1873,2301,2340,2333,2450,2388,2385,2267,2011,1929,1534,1443,995,165
North Carolina Clearances,1031,1109,1178,1194,1220,1139,1122,1064,979,1059,946,942,1140,1055,1100,1081,1172,1023,903,908,848,827,884,811,1034,1007,1153,1083,1110,1096,1005,933,934,897,939,830,1068,980,1152,1134,1103,914,996,1127,957,995,865,858,1004,1060,981,1067,979,1055,1027,865,801,729,686,408,47
