Series,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,Jan-26,Feb-26,Mar-26
Michigan Offenses,2878,2904,3505,3533,3893,3640,3275,3389,2655,2650,2477,2260,2745,2867,3330,3350,3557,3257,3022,3042,2791,2569,2524,2367,2589,2958,3315,3226,3587,3310,3047,2963,2788,2804,2423,2381,2612,2930,3286,3348,3298,3167,3040,2886,2625,2377,2407,2104,2675,2674,2969,3351,3324,3157,2827,2753,2507,2286,2147,1436,3
Michigan Clearances,1363,1327,1496,1622,1697,1645,1414,1548,1317,1402,1284,1285,1405,1432,1570,1559,1623,1565,1429,1392,1309,1222,1362,1187,1320,1310,1571,1511,1599,1540,1490,1417,1388,1386,1357,1314,1399,1423,1645,1515,1676,1639,1534,1692,1398,1330,1469,1361,1529,1569,1739,1709,1940,1709,1652,1634,1524,1409,1370,986,2
